Port Victoria P.V.4,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Curtiss XF15C,3,300000,0.0,300000
Lavochkin La-190,1,300000,0.0,300000
Brändli BX-2 Cherry,100,300000,0.03,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Blériot-SPAD S.34,150,300000,0.04,""
SNCAO 200,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Bisnovat 5,2,300000,0.0,300000
Cierva CR Twin,3,300000,0.0,300000
Arado Ar 76,189,300000,0.05,300000
FGP 227,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
IAR 316,250,300000,0.07,""
Martin P4M Mercator,21,300000,0.0,300000
Junkers T 23,4,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Kappa 77 KP 2U-SOVA,210,150,0.0,"Skyleader 150:<br/> €66,100 flyaway, excluding tax (2010)"
Royal Aircraft Factory R.E.5,24,300000,0.0,300000
Bohemia B.5,1,300000,0.0,300000
Belite Ultra Cub,1,27995,0.0,"$27,995 (complete kit, 2012)"
Adventure Aircraft EMG-6,1,300000,0.0,300000
Hanriot H.43,160,300000,0.04,300000
Aviasud Mistral,250,300000,0.07,300000
Harlow PC-5,5,300000,0.0,300000
Bowlus BA-100 Baby Albatross,156,385,0.0,"[[US$]]750 ready-to-fly, US$385 kit (1938 price)"
Douglas B-18 Bolo,350,58500,0.02,"US$58,500 (1935)"
Avro Type G,1,300000,0.0,300000
de Havilland Flamingo,14,300000,0.0,""
Vogt Lo-170,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Dewoitine D.25,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Gourdou-Leseurre GL-832 HY,22,300000,0.0,300000
Maestranza Central de Aviación HF XX-02,2,300000,0.0,300000
Caproni Ca.60,1,300000,0.0,""
Douglas XB-43 Jetmaster,2,300000,0.0,""
Republic F-84 Thunderjet,7524,769330,5.78,"US$237,247 (F-84G)<ref name=""knaack"">Knaack, Marcelle Size. ''Encyclopedia of US Air Force Aircraft and Missile Systems: Volume 1 Post-World War II Fighters 1945-1973''. Washington, DC: Office of Air Force History, 1978. ISBN 0-912799-59-5.</ref><br/>US$769,330 (F-84F)"
Folkerts Henderson Highwing,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Benoist Land Tractor Type XII,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Breguet 26T,6,300000,0.0,300000
AIDC F-CK-1 Ching-kuo,130,30000000,3.9,"{{US$|25 & $30 million}}<ref name=""globalsecurity"">{{cite web|title=Ching-kuo (Hsiung Ying) Indigenous Defense Fighter|work=GlobalSecurity.org|url=http://www.globalsecurity.org/military/world/taiwan/idf.htm?P_AVPASS=PHDGBITAVPASSP|accessdate=2006-05-14|date=2005-04-27}}</ref>"
LFG Roland D.VII,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Avro 552,33,300000,0.0,300000
Stearman 4,41,16000,0.0,"$16,000 base for a model 4E in 1929<ref>{{cite journal|magazine=AAHS Journal|date=Summer 1982|title=Saga of a Square Tail Stearman|author=Thomas E Lowe, Kennith D Wilson}}</ref>"
Breguet Bre.4,100,300000,0.03,300000
CANT Z.1007,660,300000,0.19,""
Bellanca CH-300,35,300000,0.01,300000
Yokosuka K1Y,104,300000,0.03,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
ANBO I,1,300000,0.0,300000
Hatz Classic,12,12500,0.0,"[[US$]]12,500 (kit, less engine, spars and covering, 1998)"
Convair F-106 Delta Dart,342,4700000,1.6,US$4.7 million<ref>{{harvnb|Knaack|1978}}</ref>
Fokker M 10,10,300000,0.0,300000
Farman F.180,3,300000,0.0,300000
Antonov An-12,1248,300000,0.37,""
Bristol Type 133,1,300000,0.0,300000
HpH 304,65,300000,0.01,300000
Fletcher Hercules,25,10000,0.0,"[[US$]]10,000 (2000 price, fully assembled)"
Caproni Ca.20,1,300000,0.0,""
Macchi M.67,3,300000,0.0,300000
Ambrosini SAI.1,1,300000,0.0,300000
Dassault Falcon 10,226,300000,0.06,""
Thulin K,17,300000,0.0,300000
Tipsy S.2,26,300000,0.0,300000
CANT 6,3,300000,0.0,300000
Antonov An-148,34,30000000,1.02,US$ 24-30 million for An-148<ref>{{cite web| url = http://www.lenta.ru/news/2010/04/02/an/|title= An-148 production to be reduced by 1/3 for 2010}}</ref>
Linke-Hofmann R.I,4,300000,0.0,300000
PIK-15,7,300000,0.0,300000
